,ID,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,GDCD,Địa,Sử
1,02000001,8.2,8.0,8.5,7.75,7.0,8.2,-1.0,-1.0,-1.0
2,02000002,8.8,-1.0,-1.0,-1.0,7.0,9.8,9.0,8.0,7.75
3,02000003,7.8,-1.0,-1.0,-1.0,6.5,9.2,9.25,7.25,7.75
4,02000004,6.6,-1.0,-1.0,-1.0,7.0,9.6,9.25,7.5,6.0
5,02000005,8.0,5.75,8.0,7.25,6.75,8.6,-1.0,-1.0,-1.0
